,titles,lyrics
41,그 겨울이 잠든 거리에서,"['혼자만 마음 졸이면서 지내 온 지가', '벌써 몇 달째 인지 모르겠어', '창밖에는 내 맘 모르는 듯이', '흰 눈이 아름답게 내려오고', '아련해진 이 밤에 문득 잠시', '너에게 전활 걸 수 있다면', '좋을 텐데 널 만났던 날처럼', '이런 생각에 또 잠 못 들다가', '홀로 집을 나와 걷네', '그 겨울이 잠든 거리에서', '너의 모습 한참 그려보다', '그때 못 전한 말 생각이 나', '자존심 땜에 하지 못했던 말', '내가 미안해 헤어지지 말자', '홀로인 겨울 넌 잘 지내겠지만', '한 번은 꼭 날 그리워했음 좋겠어', '혼자서 화려한 불빛들 가득한 거릴', '한참 동안을 걷고만 있는 나', '나만 빼고 모두 행복해 보여', '그땐 당연하게 생각했었던', '항상 곁에 있던 너의 존재가', '왜 자꾸만 커져 가는 건지', '후회만 가득히 나를 채워가', '어둔 내 삶에 선물처럼 왔던', '널 지켜야 했었는데', '그 겨울이 잠든 거리에서', '너의 모습 한참 그려보다', '그때 못 전한 말 생각이 나', '자존심 땜에 하지 못했던 말', '내가 미안해 헤어지지 말자', '홀로인 겨울 넌 잘 지내겠지만', '한 번은 꼭 내 생각이 났음 좋겠어', '시간 지나고 나니 이렇게 소중한데', '지금에 우리라면 다를 것 같은데', '처음 그대로 널 사랑하는데', '만약에 너를 다시 만나면', '참았던 눈물 가득 차올라', '아무 말 못 하고 바라보다', '멍든 내 가슴 편히 예전처럼', '나아질 거 같아 너의 품 안에서', '가만히 오래 꼭 안겨 눈을 맞고파', '사랑했던 그날처럼 그냥 서로 그대와', '시간을 되돌려 꿈만 같던', '그때 그 겨울로 돌아가면', '너에게 하고픈 말이 있어', '세상에 태어나 제일로 잘한 일', '널 만난 거라고', '늦어 버렸지만 용기 내 다시', '널 되돌리고 말 거야 그래야지', '그때 네게 못해줬었던 걸', '다 줄 수 있잖아']"
42,FEARLESS,"['멋진 결말에 닿게', '내 흉짐도 나의 일부라면', '겁이 난 없지 없지', '다치지 않게 다치 다치지 않게', '욕심을 숨기라는 네 말들은 이상해', '겸손한 연기 같은 건 더 이상 안 해', '멋진 결말에 닿게', '내 흉짐도 나의 일부라면', '겁이 난 없지 없지', '다치지 않게 다치 다치지 않게', '더는 없어 패배', '다치지 않게 다치 다치지 않게']"
43,취중고백,"['뭐하고 있었니 늦었지만', '잠시 나올래', '너의 집 골목에 있는', '놀이터에 앉아 있어', '친구들 만나서 오랜만에', '술을 좀 했는데', '자꾸만 니 얼굴 떠올라', '무작정 달려왔어', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '눈물이 날만큼 원하고 있어', '정말로 몰랐니', '가끔 전화해 장난치듯', '주말엔 뭐할거냐며', '너의 관심 끌던 나를', '그리고 한번씩 누나 주려 샀는데', '너 그냥 준다고', '생색 낸 선물도 너 때문에 산거야', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '진심이야 믿어줘', '갑자기 이런 말 놀랐다면 미안해', '부담이 되는게 당연해', '이해해 널', '지금 당장 대답하진마', '나와 일주일만 사귀어줄래', '후회없이 잘 해주고 싶은데', '그 후에도 니가 싫다면', '나 그때 포기할게', '귀찮게 안할게 혼자 아플게', '진심이야 너를 사랑하고 있어']"
44,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)","['시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '참 많이도 헤맸지', '이리저리 치여가며', '억지로 키워낸 내 맷집', '절대 안 들어 백긴', '아직도 거리 냄새가 찐히 베있지', '엄마 없이 자란 놈', '근데 울 아빠는 자린고비로', '날 키우지 않았고', '그게 뜨겁게 해 내 엔진', '준비돼있으니', '너가 어떤 말을 해도', '나는 멈출 수가 없어', '맞았지 내 느낌이', '저 위로 향했었지 미리', '지금이 시기', '들어왔지 깊이', '이제는 편안하게 앉아', '때워대지 끼니', '달라진 내 위치', '보여줬지 진심', '결국에 지금 내', '몸에선 나지 환한 빛이', '바닥에서 맨 위', '이제는 내가 가려주지', '할머니의 새치', '재개발 구역에서', '밀려 나와 살았지만', '꼭 내가 사다 줄게 원했었던 새집', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '뱀끼리 누가 더 뱀인지', '겨루는 뱀 싸움', '내가 체스판 위에 끼면', '똘똘 뭉쳐야 될 걸 뱀들끼리', '싸우지 말고 친하게 지내', '나 차는 바꿨어도 말은 안 바꿨어', '너넨 내가 버는 돈이', '위법이라 욕하곤', '화장 떡칠, 빌린 명품 & 체인', '나도 처음 3년 은따였고', '쓸데없이 까였고', '까보니 억까였지', '내 나침반 나다웠고', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 나침반이 혹여 고장 난대도', '난 내 직감대로 움직여 계속', '좋아서 시작했지만서도', '힘들 때가 있지 내게도 때론', '근데 반대로 너무 쉽기만 하면', '재미없잖아 너무나 당연했담', '어땠을까 과연', '실패랑 친구를 맺었더니', '소개를 받았어', '성공이란 그놈을 드디어 만났어', '멈출 수가 없지', '잠깐의 인사만 하고', '다시 가야 돼 멀리', '저기 얼타는 자식들과의', '차이를 벌리지', '저 애매한 자식들 싸그리 정리', '강자만 살아남아 여긴 정글의 법칙', '그래서 내가 여기 있지', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '시작했어 처음엔 밑', '이젠 올라갈 거야 저 위', '절대로 안 돌아봐 뒤', '우린 쫓아가 저 멀리 빛', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만', '내 삶의 나침반', '가리켜 한 곳만']"
45,나의 X에게,"['우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '안녕 그대야', '요즘 어떻게 지내', '가로수길 걷다가', '생각이 나서', '행복해 보이는 사람들 속에', '우리 둘만 없어서', '어색했었어', '늘 집에 갈 땐', '항상 뒤돌아보면', '날 보며 웃어주던', '네가 생각났어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '토요일마다 가던', '한강공원에', '이어폰 하나씩', '나눠끼고서', '벚꽃엔딩같이 듣고 있으면', '부러울 게 없었어', '너만 있으면', '널 사랑할 때', '내가 너무 그리워', '날 보며 웃어주던', '네가 보고 싶어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '같이 별 보러 갈래', '널 다시 만나면', '네 옆에 기대서', '잠들고 싶어', '너의 품에 안길래', '이 밤이 새도록', '내 곁에 있어줘', '내겐 너뿐이라고']"
46,우리들의 블루스,"['잊지는 말아요 함께 했던 날들', '눈물이 날 때면', '그대 뒤를 돌아보면 돼요', '아프지 말아요 쓸쓸한 마음에', '힘든 일이 참 많았죠 그대에겐', '내가 곁에 있을게요', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '그땐 미소 짓겠죠', '작은 행복까지 모두', '외롭고 지칠 때 손잡아 줄게요', '슬픔이 짙어질 때면 위로해 줄', '그 한 사람이 될게요', '그대 부디 울지 말아요', '슬퍼 말아요', '그대에게 빛이 될게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '폭풍 속에 혼자 남아 헤매도 오', '길이 되어 지킬게요 그대', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '어두운 길을 밝게 비추는', '그대의 빛이 될게요']"
47,ELEVEN,"['따분한 나의 눈빛이', '무표정했던 얼굴이', '널 보며 빛나고 있어', '내 입술을 간지럽힌 낯선 그 이름', '난 몰랐어 내 맘이 이리 다채로운지', '춤을 추곤 해 실컷 어지러울 만큼', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', '투명한 너와 나의 사이', '가만히 들여다보다', '일렁인 물결 속으로', '더 빠져드는 걸', '셀 수 없이 반복해도 기분 좋은 꿈', '감히 누가 이렇게 날 설레게 할 줄', '난 몰랐어 내 맘이 이리 다채로운지', '춤을 추곤 해 실컷 어지러울 만큼', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', '내 앞에 있는 너를', '그 눈에 비친 나를 (그 눈에 비친 나를)', '내 앞에 있는 너를', '그 눈에 비친 나를', '가만히 바라봐', '서둘러 오진 마', '이 순간이 좋아 난', '미처 몰랐어 내 맘이 이리 다채로운지', '춤을 추곤 해 실컷 어지러울 만큼', '한 칸 더 채우고 있어', '잘 봐 1, 2, 3, 4, 5, 6, 7', '내 앞에 있는 너를', '그 눈에 비친 나를', '내 앞에 있는 너를', '그 눈에 비친 나를', '사랑하게 됐거든']"
48,다정히 내 이름을 부르면,"['끝없이 별빛이 내리던 밤', '기분 좋은 바람이', '두 빰을 스치고', '새벽 바다 한곳을 보는', '아름다운 너와 나', '그림을 그려갔어', '모래 위 떨린 손끝으로', '날 향해 웃어주는 입술', '끝 모양과 저 달보다', '사랑스러운 두 눈을 가진 네가', '다정히 내 이름을', '부르면 내 마음이', '녹아내려 언제나', '나 하날 위해 준비된', '선물 같아 널 안으면', '잠들지 않는 바다 위를', '너와 함께 걷는 거 같아', '하늘 아래 너와 나', '남은 내 모든 날을 너에게', '다 줘도 안 아까워', '이제서야 내가', '사랑에 눈을 뜬 건 가봐', '경험하지 못했고', '믿기지 않는 일만', '일어나고 있는 거 아니', '5월에 피는 봄꽃 처럼', '내 사랑도 피어나', '부는 바람에 살며시 실어 보내', '다정히 내 이름을', '부르면 내 마음이', '녹아내려 언제나', '나 하날 위해 준비된', '선물 같아 널 안으면', '잠들지 않는 바다 위를', '너와 함께 걷는 거 같아', '하늘 아래 너와 나', '설레는 지금이', '꿈이 아닌 걸 알잖아', '난 더 바랄 게 없어', '먼 훗날 내 생애', '아주 작은 소리로', '귓가에 말할 거야', '내 곁에 머물러줘서', '마음 다해 고맙다고', '어떤 말로도 표현 못 할', '내 인생의 전부였다고', '이 순간 너를 꼭 안고', '고백할게 언제나', '우리 모든 날들과', '별빛 아래 우리 그림자', '제일로 특별하다고', '길고 긴 겨울 끝을 지나', '너의 앞에 서있는 지금', '선명한 목소리로', '널 사랑한다고', '말할게']"
49,우린 그렇게 사랑해서,"['밤하늘, 손을 잡으면 기분이 좋다며', '옅은 웃음 띠며 나에게 말하다', '너는 슬픈 노래를 불렀는데', '그게 우리 둘의 주제곡 같았어', '하루는 순진한 눈으로 나를 바라보며', '매일 두 손 모아 하늘에 빈다고', '우리 둘의 시간이 영원하길', '그게 참 아팠는데 그립기도 하더라', '둘이 가던 둘이만 알던', '수많은 거리 그 위로', '하루하루 쌓여만 가던', '소중했던 추억 그 위로', '우리 다시 돌아갈 수 있을까 알아', '결코 닿을 수 없는 시절의 우리', '그때는 이해할 수 없던', '너의 그 마지막', '이젠 선명하게 다 알 것 같았어', '그래 우린 그렇게 사랑해서', '뻔한 이별마저도 우리다웠던 거야', '둘이 가던 둘이만 알던', '수많은 거리 그 위로', '하루하루 쌓여만 가던', '소중했던 추억 그 위로', '우리 다시 돌아갈 수 있을까 알아', '결코 닿을 수 없는 시절의 우리', '그때의 우리처럼', '둘이 가던 둘이만 알던', '어설프던 풍경 그 위로', '자라나고 쌓여만 가던', '어리숙한 모습 그대로', '이제 다시 돌아가면 어떨까 그래', '결코 보낼 수 없는 시절의 우리']"
50,보고싶었어,"['너를 정말 사랑했나 봐 아직도 널 못 잊었나 봐 자꾸만 생각나', '시간은 왜 자꾸 나에게 아픈 기억은 다 지우고 좋은 추억만 남아', '우 함께 울고 웃던 계절에 다시 만난다면', '보고싶었어 사랑했던 그때의 너와', '니 곁에 그리고 나 널 바라만 봐도 눈물 나게', '마냥 좋았어 너에게 못다 한 그 말', '조금은 늦었겠지만 아직 널 사랑한다고 말야', '라라라 라라라라랄랄라 라라라라랄랄라', '보고싶었어', '라라라 라라라라랄랄라 라라라라랄랄라', '너도 내 맘 같기를', '그땐 정말 어렸었나봐 사랑을 잘 몰랐었나 봐', '그게 마음이 아파', '우 오늘처럼 눈부신 날에 다시 만난다면', '보고싶었어 사랑했던 그때의 너와', '니 곁에 그리고 나 널 바라만 봐도 눈물 나게', '마냥 좋았어 너에게 못다 한 그 말', '조금은 늦었겠지만 (늦었겠지만) 아직 널 사랑한다고', '꽃 피는 봄이 온 것처럼', '당연한 듯 내곁에 머물 줄만 알았어 (항상)', '주는 게 사랑이란 걸 그때야 난 깨달았어', '니가 떠난 후에야', '나 너에게 참 고마웠다고 벅차 행복했다고', '사랑을 가르쳐 준 니가 참', '보고싶었어 (보고싶었어) 너에게 듣고 싶은 말', '아직 늦지 않았다고 (늦지 않았다고) 너도 날 기다렸다고 말야', '라라라 라라라라랄랄라 라라라라랄랄라', '라라라 라라라라랄랄라 라라라라랄랄라', '너도 내 맘 같기를']"
51,떠나보낼 준비해 둘걸 그랬어,"['너랑 입으려 고른 옷 오늘 받아봤어', '오래 걸려서 잊고 있었는데', '곧 있을 너의 생일에 예약해놨던', '커플링마저 취소를 했어', '우리 헤어지는 게 이젠 혼자라는 게', '아직 실감이 안 나는데 난 어떡할까', '너를 떠나보낼 준비해 둘걸 그랬어', '나랑 있으면', '어떤 불편도 괜찮은 줄만 알았어', '다급히 네 맘을 붙잡으려 해도', '이미 마음 정해버린', '너의 대답에 아무 말 못 하던', '끝까지 바보 같던 내가 싫어', '멍하니 있다가도 전화벨이 울리면', '네 목소리가 들릴 것 같아 어떡할까', '너를 떠나보낼 준비해 둘걸 그랬어', '나랑 있으면', '어떤 불편도 괜찮은 줄만 알았어', '다급히 네 맘을 붙잡으려 해도', '이미 마음 정해버린', '너의 대답에 아무 말 못 하던', '끝까지 바보 같던 내가 싫어', '날 보기 싫겠지만', '어떻게든 널 붙잡고 싶은데', '널 되돌릴 방법이 없어', '네가 없는 나의 하루는', '아무것도 잡히지가 않아', '다 미안해 보고 싶어', '사랑한다는 말 많이 해줄 걸 그랬어', '사랑받으면 예뻐진다는데', '나 땜에 많이 야위었어', '마지막 가는 길 데려다준대도', '괜히 맘 약해진다며', '뒤도 안 보고 서둘러 떠나던', '너의 맘은 그동안 어땠을까']"
52,That's Hilarious,[]
53,"모든 날, 모든 순간 (Every day, Every Moment)","['네가 없이 웃을 수 있을까', '생각만 해도 눈물이나', '힘든 시간 날 지켜준 사람', '이제는 내가 그댈 지킬 테니', '너의 품은 항상 따뜻했어', '고단했던 나의 하루에', '유일한 휴식처', '나는 너 하나로 충분해', '긴 말 안 해도 눈빛으로 다 아니깐', '한 송이의 꽃이 피고 지는', '모든 날 모든 순간 함께해', '햇살처럼 빛나고 있었지', '나를 보는 네 눈빛은', '꿈이라고 해도 좋을 만큼', '그 모든 순간은 눈부셨다', '불안했던 나의 고된 삶에', '한줄기 빛처럼 다가와', '날 웃게 해준 너', '나는 너 하나로 충분해', '긴 말 안 해도 눈빛으로 다 아니깐', '한 송이의 꽃이 피고 지는', '모든 날 모든 순간 함께해', '알 수 없는 미래지만', '네 품속에 있는 지금 순간 순간이', '영원 했으면 해', '갈게 바람이 좋은 날에', '햇살 눈부신 어떤 날에 너에게로', '처음 내게 왔던 그날처럼', '모든 날 모든 순간 함께해']"
54,LOVE me,"['대체 어디서 뭐 하는지 궁금해', '침대가 허전해 잠이 안 오잖아', '그 고민을 내게 털어놓던', '너의 표정이 아직 선명해', '소파에 벤 니 향기가 비릿해', '미리 알아도 난 이리', '멍청하게 행동을 해버린다니까', '어쩔 수 없어 널 보고 싶은걸', '어쩔 수 없어 널 보고 싶은걸', '나 아프더라도 몰라', '나 아프더라도 몰라', '어쩔 수 없어 널 보고 싶은걸', '어쩔 수 없어 널 보고 싶은걸', '말할까 내 불안에 불안을', '매일 빠져있던 너의 반지같이', '허전함 사이사이', '그 자리의 기회를', '너는 넘 빨리 들렀다 가기 땜에', '나는 타이밍 안 맞아 매일 바삐', '화를 내야 할지 아니면 그냥 아기처럼', '울어버리고서 떼를 써야 할지', '이러니 내가 노력해도', '시간이 없으니 어쩌겠어', '할 말이 하나밖에 더 있겠어', '어쩔 수 없어 널 보고 싶은걸', '어쩔 수 없어 널 보고 싶은걸', '나 아프더라도 몰라', '나 아프더라도 몰라', '어쩔 수 없어 널 보고 싶은걸', '어쩔 수 없어 널 보고 싶은걸', '어쩔 수 없어 널 보고 싶은걸']"
55,WE (Feat. 박재범) (Prod. by Slom),"['내 걸로 만들어', '구하지 우리 방식대로', '목소리 팔아서', '팔자 고친 아버지 딸내미', '공양미 300석 대신 받았어 큰 입지', '우황청심원 달고 살았던 카니발', '20살의 풋내기', '청춘을 세공한 값은 돌아오니까', '쓰러트려 마이크 타이슨', '넘어져도 칠전팔기', '오래 버티던 악바리만', '살아남았지 마지막엔', '오랜 시간 쏘아 올렸지', '이제 터질 시간', '여의도처럼 퍼퍼펑', '힘든 시간들은', '그전에 전에 잠깐', '성수동 그녀는 몰라 쉬는 법', '남녀노소 밤새 흔들어', '날이면 날마다 오는 기회가 아니니', '어서 날 택해', '드디어 세탁을 맡겼지', '어젯밤 눈물에 젖은 베개', '수많은 겨울을 지냈고', '이제는 토이고 올라갈 차례', '이경영처럼 시켜 진행', '그녀는 엉덩이를 흔들다 보니까', '밤이 깊어지네', '구하지 우리 방식대로', '까만 옷을 걸치고 걸어가지', '저 나쁜 놈들 갱생', '쳐다도 못 보네 얼굴', '떨어버리네 벌벌', '우린 항상 위를 봐', '우산이 필요해 종이가 자꾸 내려와', '돈이 아니어도 우린 계속하지', '예술가니 어쩔 수가 없는 거지', '그 뒤에 진짜 얘기들이 궁금해', '그랬더니 돈이 내 뒤를 따라왔어', '돌고 돌아라 지구는 둥그네', '눈멀어도 좋아', '보지 말라는 곳을 뚫어져라 보고', '언젠가 가 있을 테니', '비노 영지 토이고 켠이형 세인이 캄보', '구하지 우리 방식대로', '신세인 낮밤을 반납한 값', '다 따고 갈 맘 채비 갖고', '내 발로 간다고', '누구 술자리 낄 시간에', '빠져서 만들은', '앨범이 내 피사체', '아니 피가 된 지금은 혈관들이', '이제는 누군가의 선수', '걱정하던 점쟁이', '엄마는 기억도 못 하더라고', '그런데 난 필요해서', '냅두는 편이 낫겠어', '한국 힙합 지금이 재미 볼 때야', '네가 잠에 들 때야', '우린 깨어나 저 구름 위', '다크서클 같은 날개를 펼치는 중이지', '밥은 먹고 다니냐 새꺄', '내가 뭔 짓 하러 왔는지', '아직도 얘넨 잘 모르겠지', '나쁜 새끼들 잡으러 가', '내 걸로 만들어', '구하지 우리 방식대로']"
56,내 기쁨은 너가 벤틀리를 끄는 거야,"['가끔은 쉽게 발을 빼', '분명 네 꿈 짓밟기 위해', '신발을 사는 사람 있을 테니', '취소가 불가능해 많은 사람들한테', '네 말은 세상 비슷한 걸 테니까', '참아야 해 아무 답이 없대', '남겨지긴 싫고 떠나는 것도 두려워', '사람은 잘만 왔다가 떠나는데', '선택지가 있는데 안 좋은 결정했대', '난 돈은 그럴 때 쓰려고 버는 건데', '난 지켜야만 하는 게 너의 자존심인데', '다 지키면서 살 수만은 없기에', '답이 없네 아무 답이 없네', '밖을 쳐다보았겠지만', '살짝 독해지는 걸 느껴 어른처럼', '짐을 싸고 떠날 거야', '거지 같은 거리에서', '벌어지는 많은 일 괜찮냐 물었어', '혼자 다 참아야만 했나 봐', '멀어지는 거지 같은 거리에서', '벌어지는 많은 일 괜찮냐 물었어', '혼자 다 삼켜야만 했나 봐', '넌 늘 아파하고 난 늘 도와주려고만 하지', '구해달라 한적 한번 없이', '혼자 붕대를 감지', '난 네 등 뒤에 있어 또 등은 손 안 닿고', '혼자 낑낑대는 너를 보면 장전된 총', '얼굴에 대고 살아가는 것만 같아', '넌 나무 위에 올라간', '새끼 고양이 같은 거 아니라고', '혼자 그냥 두라고 슬퍼하게 두라고', '혼자 슬퍼해서 좋을 건 또 뭔데', '수다나 떨길 바래', '세월 가면 잊혀질', '점수 따위에 연연하지 말고', '너의 하루가 매일 행복 일순 없겠지만', '내 역할은 그 사실을 부정하는 것', '널 다치게 한 하루를 용서하지도 말 것', '물밀려 오듯 올 거야', '그 위험은 다 나의 것', '넌 알아둬야 해 이걸', '언젠간 나 역시도', '무너져 버리고 말 거야', '이 거지 같은 세상에서', '혼자는 불가능하겠지만', '그때 가선 너의 가족을 꾸리게 될 거야', '너무 좋은 거래엔 항상 거짓이 섞여 있어', '사람을 곁에 두되 너무 믿지 말 것', '내가 너한테 그랬었던 것처럼 무조건', '너의 아이들을 절대적으로 지킬 것']"
57,첫사랑,"['알아 내 맘에 조용히', '문을 두드리면', '눈에 뿌옇게 고여버린', '널 흘려보내야 해', '기억은 저 빠른', '시곗바늘을 놓쳐', '처음 널 알아본', '마지막에 웃어보일거야', '사선을 트는 저 빛은', '날 향해 불을 피우고', '재가 되지 않으려', '난 돌아서지만', '빈 갈피에 차오른', '우리라는 색은', '완벽할 필요 없이', '아름다운 영화였어', '우리가 머문 밤 사이', '피어버린 심장소리에', '밤 하늘의 별을 이어', '널 그리는 걸', '이 시간의 난', '너와의 시간을 물 들이고', '첫사랑이라는', '이름으로 지어지나봐', '저 별도 달도 사랑한', '우리의 파란 하늘은', '손 닿을 필요 없이 부서진', '은하수인것 같아', '우리가 머문 밤 사이', '피어버린 심장소리에', '밤 하늘의 별을 이어', '널 그리는 걸', '이 시간의 난', '너와의 시간을 물 들이고', '첫 사랑이라는', '이름으로 지어지나봐', '이 시간의 난', '첫 사랑이라는', '이름으로 지워지나봐']"
58,I Don't Think That I Like Her,[]
59,다시 만날 수 있을까,"['너를 위해 해 줄 것이 하나 없어서', '보낼 수밖에 없었고', '네가 없이 사는 법을 알지 못해서', '순간순간을 울었다', '후회로 가득한 한숨 자락이', '시린 바람처럼', '가슴 치는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '붙잡을 마음이야 없었겠냐마는', '그때 난 부끄러웠다', '떳떳하게 일어나 널 다시 찾아갈', '뜨거운 꿈만 꾸었다', '둘이 함께 했던 순간순간이', '시린 폭포처럼', '쏟아지는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '그리운 마음이 서럽게 흘러넘쳐', '너에게 닿을 때', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까']"
60,밤하늘의 별을(2020),"['밤하늘의 별을 따서 너에게 줄래', '너는 내가 사랑하니까', '더 소중하니까', '오직 너 아니면 안 된다고', '외치고 싶어 그저', '내 곁에만 있어줘', '떠나지 말아줘', '참 많이 어색했었죠 널 처음 만난 날', '멀리서 좋아하다가 들킨 사람처럼', '숨이 가득 차올라서', '아무 말 하지 못했는데', '너는 말 없이 웃으며 내 손 잡아줬죠', '밤하늘의 별을 따서 너에게 줄래', '너는 내가 사랑하니까', '더 소중하니까', '오직 너 아니면 안 된다고', '외치고 싶어', '그저 내 곁에만 있어줘', '떠나지 말아줘', '널 좋아하는 내 마음이 표현이 안 돼', '꿈이 아니면 좋겠어 자꾸 웃음 나와', '내 모든 걸 다 준대도', '너에겐 아깝질 않아', '이 순간이 영원하길 난 정말 행복해', '밤하늘의 별을 따서 너에게 줄래', '너는 내가 사랑하니까', '더 소중하니까', '오직 너 아니면 안 된다고', '외치고 싶어', '그저 내 곁에만 있어줘', '떠나지 말아줘', '그저 내 곁에만 있어줘', '떠나지 말아줘', '많고 많은 사람 중에', '너를 만나서 행복하고 싶어', '두 번 다시 울지 않을래', '오직 내 눈에는 너만 보여', '나를 아껴줘 이제부터', '혼자가 아니야 우린 함께니까', '나나나 난난 난난나', '나나나 난난 난난나', '나 나나나 난난 난난나 나나난나', '나나나 난난 난난나', '나나나 난난 난난나', '나 나나나 난난 난난나 나나난나']"
61,새벽에 걸려온 너의 전화는,"['사랑한다 말하고 보고 싶다 말하고', '많은 걸 약속하고 미래를 꿈꾸던 날들', '내가 줬던 사랑이 당연해진 걸까', '언제부터 너의 맘이 변했을까', '갑자기 온 전화는 날 불안하게 만들어', '혹시 무슨 일 있는 건지 걱정을 하다', '다시 만나자고 하지는 않을까', '괜한 기대를 해 잠들 수 없어', '새벽에 걸려온 너의 전화는', '그리움보다는', '실수였다고 난 생각할게', '냉정하게 뿌리치고 매달렸던', '날 밀어낸 넌데', '뜨는 너의 이름에 눈물만', '미안한 마음이야 아쉬운 마음이야', '애써 날 위해 주는척한 행동인 거니', '받아볼까 하다 정신을 차렸어', '목소리를 들으면 울 것 같아서', '새벽에 걸려온 너의 전화는', '그리움보다는', '실수였다고 난 생각할게', '냉정하게 뿌리치고 매달렸던', '날 밀어낸 넌데', '뜨는 너의 이름에 눈물만', '상처받은 내 마음을 알아줘', '내가 아픈 만큼 더 힘들어줘', '내가 좀 유치해 보인다 해도', '새벽에 걸려온 너의 전화는', '울리는 단 몇 초의 벨 소리에', '널 미워한 맘이', '완벽히 무너질 것 같았어', '잊으려 몸부림치고', '내 삶에서 분명 지웠는데', '뜨는 너의 이름에 눈물만']"
